Data,1ª_Dose,2ª_Dose,3ª_Dose,Dose_Única
2021-07-28,210522,197915,0,6516
2021-07-29,222729,304611,0,6145
2021-07-30,307134,180646,0,5077
2021-07-31,170426,105767,0,2952
2021-08-01,16646,7525,0,164
2021-08-02,272090,140220,0,3269
2021-08-03,311844,135575,0,3626
2021-08-04,351268,212968,0,2197
2021-08-05,361206,174713,0,1466
2021-08-06,347400,229568,0,2778
2021-08-07,163005,119749,0,2084
2021-08-08,20015,67752,0,569
2021-08-09,263727,213039,0,2892
2021-08-10,419710,217831,0,2381
2021-08-11,414955,189912,0,1577
2021-08-12,449245,226552,0,3323
2021-08-13,452205,261233,0,3779
2021-08-14,430206,197786,0,1979
2021-08-15,241618,47195,0,1862
2021-08-16,314189,363213,0,1651
2021-08-17,283670,390141,0,1713
2021-08-18,235464,424504,0,2670
2021-08-19,174981,380935,0,2425
2021-08-20,172898,384482,0,1505
2021-08-21,110746,145266,0,1150
2021-08-22,20410,22408,0,253
2021-08-23,147071,310288,0,1082
2021-08-24,151017,278474,0,1389
2021-08-25,146215,324624,0,1053
2021-08-26,134064,264295,0,1115
2021-08-27,124046,312420,0,2790
2021-08-28,65811,168457,0,538
2021-08-29,20282,19182,0,36
2021-08-30,274784,310484,0,865
2021-08-31,295132,334098,0,723
2021-09-01,274209,323985,0,704
2021-09-02,213879,389910,0,570
2021-09-03,196834,405701,0,570
2021-09-04,78756,188556,574,125
2021-09-05,14460,24668,161,58
2021-09-06,195756,171665,12039,105
2021-09-07,38163,75170,979,32
2021-09-08,197213,561762,7005,421
2021-09-09,238424,530547,10071,599
2021-09-10,185194,459597,14200,922
2021-09-11,104957,300837,14373,138
2021-09-12,22041,39009,328,10
2021-09-13,172834,470524,19433,429
2021-09-14,162306,459588,20056,798
2021-09-15,139464,370490,23973,458
2021-09-16,117066,377493,19674,252
2021-09-17,97582,405835,20074,490
2021-09-18,56270,200326,6516,247
2021-09-19,13508,29125,1121,20
2021-09-20,74201,348713,20509,249
2021-09-21,68117,375666,25433,455
2021-09-22,64140,364039,20787,291
2021-09-23,67396,340540,20265,346
2021-09-24,60134,366404,22174,335
2021-09-25,30684,165640,7089,389
2021-09-26,6594,27185,511,145
2021-09-27,62494,347879,44466,313
2021-09-28,54335,338780,37478,868
2021-09-29,50134,320403,34667,185
2021-09-30,48850,316990,30467,226
2021-10-01,37187,274527,27899,491
2021-10-02,51242,257055,41584,204
2021-10-03,7040,17960,674,280
2021-10-04,40522,261327,103949,507
2021-10-05,37562,238833,122780,616
2021-10-06,39130,245169,125956,629
2021-10-07,32604,264984,107002,600
2021-10-08,30249,249096,104946,841
2021-10-09,11057,110825,28780,670
2021-10-10,4427,23387,4210,554
2021-10-11,5600,61405,22736,19
2021-10-12,3238,29823,9944,123
2021-10-13,27227,248238,124374,757
2021-10-14,28595,247974,136226,1077
2021-10-15,29512,228974,110670,910
2021-10-16,31309,195332,110513,402
2021-10-17,3263,22069,5076,344
2021-10-18,26533,210123,126714,371
2021-10-19,28836,216989,125584,724
2021-10-20,26781,196737,110606,267
2021-10-21,26284,178823,106506,261
2021-10-22,33325,189748,111960,2071
2021-10-23,14313,79250,45510,321
2021-10-24,3221,12967,2935,94
2021-10-25,24535,200893,118755,124
2021-10-26,26153,218525,123010,210
2021-10-27,26761,231328,109073,181
2021-10-28,13952,115249,71220,122
