Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Batatais,3505906,58,terça-feira ,2021-02-02
Bauru,3506003,38,terça-feira ,2021-02-02
Sorocaba,3552205,35,terça-feira ,2021-02-02
Matão,3529302,40,terça-feira ,2021-02-02
Barretos,3505500,36,terça-feira ,2021-02-02
Pindamonhangaba,3538006,41,terça-feira ,2021-02-02
Araçatuba,3502804,32,terça-feira ,2021-02-02
Diadema,3513801,38,terça-feira ,2021-02-02
Birigui,3506508,38,terça-feira ,2021-02-02
Botucatu,3507506,39,terça-feira ,2021-02-02
São Vicente,3551009,41,terça-feira ,2021-02-02
Jundiaí,3525904,32,terça-feira ,2021-02-02
Mairiporã,3528502,41,terça-feira ,2021-02-02
Itu,3523909,38,terça-feira ,2021-02-02
Hortolândia,3519071,36,terça-feira ,2021-02-02
Votorantim,3557006,38,terça-feira ,2021-02-02
Ferraz De Vasconcelos,3515707,40,terça-feira ,2021-02-02
Sertãozinho,3551702,42,terça-feira ,2021-02-02
Santana De Parnaíba,3547304,42,terça-feira ,2021-02-02
São José Do Rio Preto,3549805,36,terça-feira ,2021-02-02
Itapevi,3522505,39,terça-feira ,2021-02-02
Paulínia,3536505,34,terça-feira ,2021-02-02
Guaratinguetá,3518404,39,terça-feira ,2021-02-02
Cotia,3513009,37,terça-feira ,2021-02-02
Carapicuíba,3510609,39,terça-feira ,2021-02-02
Cosmópolis,3512803,40,terça-feira ,2021-02-02
Tupã,3555000,42,terça-feira ,2021-02-02
Jaú,3525300,41,terça-feira ,2021-02-02
Caraguatatuba,3510500,41,terça-feira ,2021-02-02
São Joaquim Da Barra,3549409,61,terça-feira ,2021-02-02
Guarujá,3518701,41,terça-feira ,2021-02-02
Catanduva,3511102,36,terça-feira ,2021-02-02
Araras,3503307,38,terça-feira ,2021-02-02
Santo André,3547809,40,terça-feira ,2021-02-02
Araraquara,3503208,36,terça-feira ,2021-02-02
Penápolis,3537305,51,terça-feira ,2021-02-02
Marília,3529005,37,terça-feira ,2021-02-02
Andradina,3502101,42,terça-feira ,2021-02-02
Santos,3548500,37,terça-feira ,2021-02-02
Jaboticabal,3524303,40,terça-feira ,2021-02-02
Embu Das Artes,3515004,40,terça-feira ,2021-02-02
Lins,3527108,41,terça-feira ,2021-02-02
Artur Nogueira,3503802,48,terça-feira ,2021-02-02
Jaguariúna,3524709,42,terça-feira ,2021-02-02
Boituva,3507001,43,terça-feira ,2021-02-02
Mococa,3530508,56,terça-feira ,2021-02-02
Itanhaém,3522109,45,terça-feira ,2021-02-02
Bertioga,3506359,48,terça-feira ,2021-02-02
Suzano,3552502,38,terça-feira ,2021-02-02
Itatiba,3523404,36,terça-feira ,2021-02-02
Jandira,3525003,33,terça-feira ,2021-02-02
Ubatuba,3555406,48,terça-feira ,2021-02-02
Taquaritinga,3553708,50,terça-feira ,2021-02-02
São Bernardo Do Campo,3548708,42,terça-feira ,2021-02-02
Ribeirão Preto,3543402,40,terça-feira ,2021-02-02
Avaré,3504503,42,terça-feira ,2021-02-02
São Roque,3550605,40,terça-feira ,2021-02-02
Ribeirão Pires,3543303,40,terça-feira ,2021-02-02
Barueri,3505708,34,terça-feira ,2021-02-02
Itapetininga,3522307,41,terça-feira ,2021-02-02
Poá,3539806,36,terça-feira ,2021-02-02
Itapeva,3522406,35,terça-feira ,2021-02-02
Monte Mor,3531803,52,terça-feira ,2021-02-02
Assis,3504008,39,terça-feira ,2021-02-02
Lorena,3527207,46,terça-feira ,2021-02-02
Presidente Prudente,3541406,34,terça-feira ,2021-02-02
Francisco Morato,3516309,43,terça-feira ,2021-02-02
Pirassununga,3539301,43,terça-feira ,2021-02-02
Mauá,3529401,36,terça-feira ,2021-02-02
Votuporanga,3557105,39,terça-feira ,2021-02-02
Jacareí,3524402,39,terça-feira ,2021-02-02
Itapecerica Da Serra,3522208,42,terça-feira ,2021-02-02
São João Da Boa Vista,3549102,46,terça-feira ,2021-02-02
Mogi Guaçu,3530706,40,terça-feira ,2021-02-02
Campo Limpo Paulista,3509601,42,terça-feira ,2021-02-02
Valinhos,3556206,37,terça-feira ,2021-02-02
Estado De São Paulo,35,40,terça-feira ,2021-02-02
São José Do Rio Pardo,3549706,53,terça-feira ,2021-02-02
Mongaguá,3531100,44,terça-feira ,2021-02-02
Santa Bárbara D'Oeste,3545803,37,terça-feira ,2021-02-02
Itaquaquecetuba,3523107,35,terça-feira ,2021-02-02
São Sebastião,3550704,54,terça-feira ,2021-02-02
Franco Da Rocha,3516408,39,terça-feira ,2021-02-02
Rio Grande Da Serra,3544103,48,terça-feira ,2021-02-02
Olímpia,3533908,43,terça-feira ,2021-02-02
São Paulo,3550308,39,terça-feira ,2021-02-02
Itupeva,3524006,39,terça-feira ,2021-02-02
Arujá,3503901,36,terça-feira ,2021-02-02
Amparo,3501905,40,terça-feira ,2021-02-02
São Caetano Do Sul,3548807,38,terça-feira ,2021-02-02
Guarulhos,3518800,36,terça-feira ,2021-02-02
Limeira,3526902,34,terça-feira ,2021-02-02
Vinhedo,3556701,39,terça-feira ,2021-02-02
Praia Grande,3541000,43,terça-feira ,2021-02-02
Rio Claro,3543907,38,terça-feira ,2021-02-02
Monte Alto,3531308,48,terça-feira ,2021-02-02
Indaiatuba,3520509,42,terça-feira ,2021-02-02
São Carlos,3548906,41,terça-feira ,2021-02-02
Atibaia,3504107,38,terça-feira ,2021-02-02
Tatuí,3554003,39,terça-feira ,2021-02-02
Embu-Guaçu,3515103,44,terça-feira ,2021-02-02
Cubatão,3513504,42,terça-feira ,2021-02-02
Ibitinga,3519600,46,quarta-feira ,2021-02-03
Mongaguá,3531100,45,quarta-feira ,2021-02-03
Osasco,3534401,36,quarta-feira ,2021-02-03
Americana,3501608,36,quarta-feira ,2021-02-03
Nova Odessa,3533403,36,quarta-feira ,2021-02-03
Peruíbe,3537602,44,quarta-feira ,2021-02-03
Porto Ferreira,3540705,51,quarta-feira ,2021-02-03
Porto Feliz,3540606,41,quarta-feira ,2021-02-03
Lençóis Paulista,3526803,39,quarta-feira ,2021-02-03
Guaratinguetá,3518404,39,quarta-feira ,2021-02-03
Sumaré,3552403,35,quarta-feira ,2021-02-03
Capivari,3510401,42,quarta-feira ,2021-02-03
Catanduva,3511102,36,quarta-feira ,2021-02-03
Caieiras,3509007,34,quarta-feira ,2021-02-03
São Joaquim Da Barra,3549409,61,quarta-feira ,2021-02-03
Caraguatatuba,3510500,41,quarta-feira ,2021-02-03
