Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Itu,3523909,38,sábado ,2021-01-30
Americana,3501608,40,sábado ,2021-01-30
Ourinhos,3534708,40,sábado ,2021-01-30
Olímpia,3533908,47,sábado ,2021-01-30
Jacareí,3524402,41,sábado ,2021-01-30
Registro,3542602,42,sábado ,2021-01-30
Itapira,3522604,42,sábado ,2021-01-30
Suzano,3552502,40,sábado ,2021-01-30
Sumaré,3552403,39,sábado ,2021-01-30
Ibiúna,3519709,48,sábado ,2021-01-30
Cotia,3513009,41,sábado ,2021-01-30
Várzea Paulista,3556503,40,sábado ,2021-01-30
Campos Do Jordão,3509700,43,sábado ,2021-01-30
Cajamar,3509205,38,sábado ,2021-01-30
Porto Ferreira,3540705,51,sábado ,2021-01-30
Lençóis Paulista,3526803,41,sábado ,2021-01-30
Caraguatatuba,3510500,43,sábado ,2021-01-30
Itupeva,3524006,39,sábado ,2021-01-30
Cotia,3513009,47,domingo ,2021-01-31
São José Dos Campos,3549904,51,domingo ,2021-01-31
Pirassununga,3539301,51,domingo ,2021-01-31
Birigui,3506508,44,domingo ,2021-01-31
Botucatu,3507506,46,domingo ,2021-01-31
Marília,3529005,46,domingo ,2021-01-31
Ibitinga,3519600,48,domingo ,2021-01-31
Arujá,3503901,39,domingo ,2021-01-31
São Sebastião,3550704,55,domingo ,2021-01-31
Registro,3542602,46,domingo ,2021-01-31
Capivari,3510401,53,domingo ,2021-01-31
Jaguariúna,3524709,47,domingo ,2021-01-31
Bebedouro,3506102,61,domingo ,2021-01-31
São José Do Rio Preto,3549805,47,domingo ,2021-01-31
Cajamar,3509205,47,domingo ,2021-01-31
Suzano,3552502,41,domingo ,2021-01-31
Piracicaba,3538709,44,domingo ,2021-01-31
Santana De Parnaíba,3547304,52,domingo ,2021-01-31
Indaiatuba,3520509,46,domingo ,2021-01-31
Assis,3504008,49,domingo ,2021-01-31
Bauru,3506003,47,domingo ,2021-01-31
Pindamonhangaba,3538006,46,domingo ,2021-01-31
Lins,3527108,45,domingo ,2021-01-31
Araras,3503307,44,domingo ,2021-01-31
Bertioga,3506359,51,domingo ,2021-01-31
Monte Alto,3531308,53,domingo ,2021-01-31
Cubatão,3513504,50,domingo ,2021-01-31
Campinas,3509502,45,domingo ,2021-01-31
Ribeirão Pires,3543303,48,domingo ,2021-01-31
Mogi Das Cruzes,3530607,46,domingo ,2021-01-31
Itu,3523909,44,domingo ,2021-01-31
Ferraz De Vasconcelos,3515707,46,domingo ,2021-01-31
São Vicente,3551009,50,domingo ,2021-01-31
Limeira,3526902,41,domingo ,2021-01-31
Santa Isabel,3546801,49,domingo ,2021-01-31
São João Da Boa Vista,3549102,55,domingo ,2021-01-31
Avaré,3504503,49,domingo ,2021-01-31
Guarulhos,3518800,43,domingo ,2021-01-31
Santo André,3547809,48,domingo ,2021-01-31
Fernandópolis,3515509,46,domingo ,2021-01-31
Mogi Guaçu,3530706,43,domingo ,2021-01-31
Catanduva,3511102,45,domingo ,2021-01-31
Araçatuba,3502804,43,domingo ,2021-01-31
Caraguatatuba,3510500,44,domingo ,2021-01-31
Várzea Paulista,3556503,45,domingo ,2021-01-31
Votuporanga,3557105,46,domingo ,2021-01-31
Itupeva,3524006,45,domingo ,2021-01-31
São Bernardo Do Campo,3548708,49,domingo ,2021-01-31
Itaquaquecetuba,3523107,41,domingo ,2021-01-31
Itapevi,3522505,43,domingo ,2021-01-31
Santos,3548500,45,domingo ,2021-01-31
Americana,3501608,45,domingo ,2021-01-31
São Joaquim Da Barra,3549409,69,domingo ,2021-01-31
Jandira,3525003,40,domingo ,2021-01-31
Piedade,3537800,53,domingo ,2021-01-31
Hortolândia,3519071,42,domingo ,2021-01-31
Taboão Da Serra,3552809,43,domingo ,2021-01-31
Sertãozinho,3551702,51,domingo ,2021-01-31
Osasco,3534401,42,domingo ,2021-01-31
São José Do Rio Pardo,3549706,61,domingo ,2021-01-31
Porto Ferreira,3540705,57,domingo ,2021-01-31
Mogi Mirim,3530805,53,domingo ,2021-01-31
Lençóis Paulista,3526803,47,domingo ,2021-01-31
Rio Claro,3543907,44,domingo ,2021-01-31
Vinhedo,3556701,51,domingo ,2021-01-31
Praia Grande,3541000,48,domingo ,2021-01-31
Itatiba,3523404,45,domingo ,2021-01-31
Ribeirão Preto,3543402,50,domingo ,2021-01-31
Mairiporã,3528502,46,domingo ,2021-01-31
Rio Grande Da Serra,3544103,55,domingo ,2021-01-31
Andradina,3502101,46,domingo ,2021-01-31
Tupã,3555000,48,domingo ,2021-01-31
Campo Limpo Paulista,3509601,51,domingo ,2021-01-31
Mongaguá,3531100,44,domingo ,2021-01-31
Itapecerica Da Serra,3522208,49,domingo ,2021-01-31
Valinhos,3556206,43,domingo ,2021-01-31
Vargem Grande Paulista,3556453,50,domingo ,2021-01-31
Itapira,3522604,48,domingo ,2021-01-31
Estado De São Paulo,35,48,domingo ,2021-01-31
Sumaré,3552403,42,domingo ,2021-01-31
Salto,3545209,43,domingo ,2021-01-31
São Paulo,3550308,47,domingo ,2021-01-31
Porto Feliz,3540606,49,domingo ,2021-01-31
Caieiras,3509007,44,domingo ,2021-01-31
Peruíbe,3537602,49,domingo ,2021-01-31
Ourinhos,3534708,48,domingo ,2021-01-31
Bragança Paulista,3507605,44,domingo ,2021-01-31
Jundiaí,3525904,41,domingo ,2021-01-31
Guaratinguetá,3518404,43,domingo ,2021-01-31
Taubaté,3554102,45,domingo ,2021-01-31
Sorocaba,3552205,43,domingo ,2021-01-31
Barretos,3505500,43,domingo ,2021-01-31
Caçapava,3508504,50,domingo ,2021-01-31
Matão,3529302,45,domingo ,2021-01-31
Ibiúna,3519709,51,domingo ,2021-01-31
Cruzeiro,3513405,39,domingo ,2021-01-31
Leme,3526704,50,domingo ,2021-01-31
Franca,3516200,40,domingo ,2021-01-31
Campos Do Jordão,3509700,46,domingo ,2021-01-31
Guarujá,3518701,45,domingo ,2021-01-31
Paulínia,3536505,45,domingo ,2021-01-31
Taquaritinga,3553708,57,domingo ,2021-01-31
Santa Bárbara D'Oeste,3545803,43,domingo ,2021-01-31
Batatais,3505906,63,domingo ,2021-01-31
Artur Nogueira,3503802,53,domingo ,2021-01-31
Nova Odessa,3533403,44,domingo ,2021-01-31
Araraquara,3503208,44,domingo ,2021-01-31
Diadema,3513801,46,domingo ,2021-01-31
Penápolis,3537305,54,domingo ,2021-01-31
Jaboticabal,3524303,48,domingo ,2021-01-31
Itanhaém,3522109,45,domingo ,2021-01-31
São Carlos,3548906,49,domingo ,2021-01-31
Francisco Morato,3516309,48,domingo ,2021-01-31
Mirassol,3530300,51,domingo ,2021-01-31
Boituva,3507001,49,domingo ,2021-01-31
Jaú,3525300,49,domingo ,2021-01-31
Lorena,3527207,48,domingo ,2021-01-31
Olímpia,3533908,46,domingo ,2021-01-31
Votorantim,3557006,46,domingo ,2021-01-31
Itararé,3523206,52,domingo ,2021-01-31
Jacareí,3524402,45,domingo ,2021-01-31
Mococa,3530508,64,domingo ,2021-01-31
Tatuí,3554003,46,domingo ,2021-01-31
Embu Das Artes,3515004,48,domingo ,2021-01-31
Itapeva,3522406,40,domingo ,2021-01-31
Presidente Prudente,3541406,44,domingo ,2021-01-31
Ubatuba,3555406,48,domingo ,2021-01-31
Itapetininga,3522307,48,domingo ,2021-01-31
Franco Da Rocha,3516408,46,domingo ,2021-01-31
Amparo,3501905,46,domingo ,2021-01-31
São Caetano Do Sul,3548807,47,domingo ,2021-01-31
Monte Mor,3531803,45,domingo ,2021-01-31
Carapicuíba,3510609,43,domingo ,2021-01-31
São Roque,3550605,49,domingo ,2021-01-31
Poá,3539806,40,domingo ,2021-01-31
Mauá,3529401,43,domingo ,2021-01-31
Embu-Guaçu,3515103,49,domingo ,2021-01-31
Atibaia,3504107,47,domingo ,2021-01-31
Cosmópolis,3512803,49,domingo ,2021-01-31
Barueri,3505708,42,domingo ,2021-01-31
Andradina,3502101,40,segunda-feira ,2021-02-01
São Joaquim Da Barra,3549409,62,segunda-feira ,2021-02-01
Itupeva,3524006,36,segunda-feira ,2021-02-01
Mauá,3529401,36,segunda-feira ,2021-02-01
Ubatuba,3555406,45,segunda-feira ,2021-02-01
Americana,3501608,36,segunda-feira ,2021-02-01
Cruzeiro,3513405,42,segunda-feira ,2021-02-01
Francisco Morato,3516309,41,segunda-feira ,2021-02-01
Santa Bárbara D'Oeste,3545803,36,segunda-feira ,2021-02-01
Guaratinguetá,3518404,38,segunda-feira ,2021-02-01
Peruíbe,3537602,43,segunda-feira ,2021-02-01
Santo André,3547809,39,segunda-feira ,2021-02-01
Taboão Da Serra,3552809,39,segunda-feira ,2021-02-01
Nova Odessa,3533403,37,segunda-feira ,2021-02-01
Ibitinga,3519600,46,segunda-feira ,2021-02-01
São Paulo,3550308,39,segunda-feira ,2021-02-01
Taquaritinga,3553708,52,segunda-feira ,2021-02-01
Amparo,3501905,38,segunda-feira ,2021-02-01
Indaiatuba,3520509,40,segunda-feira ,2021-02-01
Rio Claro,3543907,37,segunda-feira ,2021-02-01
Porto Feliz,3540606,41,segunda-feira ,2021-02-01
Jundiaí,3525904,32,segunda-feira ,2021-02-01
Itanhaém,3522109,40,segunda-feira ,2021-02-01
Paulínia,3536505,36,segunda-feira ,2021-02-01
Ribeirão Preto,3543402,40,segunda-feira ,2021-02-01
Jaguariúna,3524709,40,segunda-feira ,2021-02-01
Santa Isabel,3546801,42,segunda-feira ,2021-02-01
São Carlos,3548906,40,segunda-feira ,2021-02-01
Bragança Paulista,3507605,35,segunda-feira ,2021-02-01
Lençóis Paulista,3526803,39,segunda-feira ,2021-02-01
Araraquara,3503208,36,segunda-feira ,2021-02-01
Ourinhos,3534708,39,segunda-feira ,2021-02-01
Caieiras,3509007,34,segunda-feira ,2021-02-01
Barretos,3505500,38,segunda-feira ,2021-02-01
Tatuí,3554003,39,segunda-feira ,2021-02-01
Campos Do Jordão,3509700,41,segunda-feira ,2021-02-01
Mongaguá,3531100,40,segunda-feira ,2021-02-01
Cajamar,3509205,36,segunda-feira ,2021-02-01
Penápolis,3537305,48,segunda-feira ,2021-02-01
Sumaré,3552403,35,segunda-feira ,2021-02-01
Monte Mor,3531803,46,segunda-feira ,2021-02-01
Batatais,3505906,54,segunda-feira ,2021-02-01
Mococa,3530508,54,segunda-feira ,2021-02-01
Porto Ferreira,3540705,49,segunda-feira ,2021-02-01
São Roque,3550605,40,segunda-feira ,2021-02-01
Vargem Grande Paulista,3556453,43,segunda-feira ,2021-02-01
Jandira,3525003,34,segunda-feira ,2021-02-01
Guarulhos,3518800,36,segunda-feira ,2021-02-01
Salto,3545209,37,segunda-feira ,2021-02-01
Itapira,3522604,38,segunda-feira ,2021-02-01
Jacareí,3524402,39,segunda-feira ,2021-02-01
Valinhos,3556206,35,segunda-feira ,2021-02-01
Barueri,3505708,33,segunda-feira ,2021-02-01
Matão,3529302,39,segunda-feira ,2021-02-01
Poá,3539806,36,segunda-feira ,2021-02-01
Ibiúna,3519709,42,segunda-feira ,2021-02-01
Mogi Mirim,3530805,42,segunda-feira ,2021-02-01
Lorena,3527207,42,segunda-feira ,2021-02-01
Artur Nogueira,3503802,46,segunda-feira ,2021-02-01
Guarujá,3518701,39,segunda-feira ,2021-02-01
Bebedouro,3506102,47,segunda-feira ,2021-02-01
Botucatu,3507506,39,segunda-feira ,2021-02-01
Várzea Paulista,3556503,37,segunda-feira ,2021-02-01
Mirassol,3530300,43,segunda-feira ,2021-02-01
Fernandópolis,3515509,39,segunda-feira ,2021-02-01
Estado De São Paulo,35,40,segunda-feira ,2021-02-01
Embu Das Artes,3515004,41,segunda-feira ,2021-02-01
Arujá,3503901,34,segunda-feira ,2021-02-01
Catanduva,3511102,36,segunda-feira ,2021-02-01
Embu-Guaçu,3515103,43,segunda-feira ,2021-02-01
Vinhedo,3556701,38,segunda-feira ,2021-02-01
Registro,3542602,41,segunda-feira ,2021-02-01
Ferraz De Vasconcelos,3515707,37,segunda-feira ,2021-02-01
São Bernardo Do Campo,3548708,40,segunda-feira ,2021-02-01
Sertãozinho,3551702,42,segunda-feira ,2021-02-01
Lins,3527108,38,segunda-feira ,2021-02-01
Cubatão,3513504,41,segunda-feira ,2021-02-01
Mairiporã,3528502,40,segunda-feira ,2021-02-01
Diadema,3513801,37,segunda-feira ,2021-02-01
Ribeirão Pires,3543303,39,segunda-feira ,2021-02-01
Itaquaquecetuba,3523107,35,segunda-feira ,2021-02-01
Bertioga,3506359,43,segunda-feira ,2021-02-01
Pirassununga,3539301,43,segunda-feira ,2021-02-01
Rio Grande Da Serra,3544103,47,segunda-feira ,2021-02-01
Jaboticabal,3524303,40,segunda-feira ,2021-02-01
Hortolândia,3519071,35,segunda-feira ,2021-02-01
Itapetininga,3522307,41,segunda-feira ,2021-02-01
Atibaia,3504107,37,segunda-feira ,2021-02-01
Mogi Guaçu,3530706,39,segunda-feira ,2021-02-01
Osasco,3534401,36,segunda-feira ,2021-02-01
Taubaté,3554102,38,segunda-feira ,2021-02-01
Itapecerica Da Serra,3522208,42,segunda-feira ,2021-02-01
São João Da Boa Vista,3549102,43,segunda-feira ,2021-02-01
Assis,3504008,39,segunda-feira ,2021-02-01
Santos,3548500,36,segunda-feira ,2021-02-01
Santana De Parnaíba,3547304,42,segunda-feira ,2021-02-01
Leme,3526704,44,segunda-feira ,2021-02-01
Itatiba,3523404,35,segunda-feira ,2021-02-01
Marília,3529005,36,segunda-feira ,2021-02-01
Campo Limpo Paulista,3509601,43,segunda-feira ,2021-02-01
Boituva,3507001,43,segunda-feira ,2021-02-01
Capivari,3510401,42,segunda-feira ,2021-02-01
São Sebastião,3550704,48,segunda-feira ,2021-02-01
Birigui,3506508,38,segunda-feira ,2021-02-01
Suzano,3552502,38,segunda-feira ,2021-02-01
Franca,3516200,34,segunda-feira ,2021-02-01
São José Do Rio Preto,3549805,36,segunda-feira ,2021-02-01
Araras,3503307,36,segunda-feira ,2021-02-01
Olímpia,3533908,45,segunda-feira ,2021-02-01
São Caetano Do Sul,3548807,39,segunda-feira ,2021-02-01
Sorocaba,3552205,35,segunda-feira ,2021-02-01
Araçatuba,3502804,35,segunda-feira ,2021-02-01
São Vicente,3551009,41,segunda-feira ,2021-02-01
Praia Grande,3541000,41,segunda-feira ,2021-02-01
Monte Alto,3531308,48,segunda-feira ,2021-02-01
Limeira,3526902,32,segunda-feira ,2021-02-01
Itararé,3523206,50,segunda-feira ,2021-02-01
Campinas,3509502,35,segunda-feira ,2021-02-01
Piedade,3537800,45,segunda-feira ,2021-02-01
Presidente Prudente,3541406,34,segunda-feira ,2021-02-01
Votorantim,3557006,37,segunda-feira ,2021-02-01
Franco Da Rocha,3516408,39,segunda-feira ,2021-02-01
Pindamonhangaba,3538006,41,segunda-feira ,2021-02-01
Piracicaba,3538709,36,segunda-feira ,2021-02-01
Mogi Das Cruzes,3530607,37,segunda-feira ,2021-02-01
Caçapava,3508504,42,segunda-feira ,2021-02-01
São José Do Rio Pardo,3549706,52,segunda-feira ,2021-02-01
Cotia,3513009,37,segunda-feira ,2021-02-01
Itapeva,3522406,36,segunda-feira ,2021-02-01
Avaré,3504503,42,segunda-feira ,2021-02-01
Caraguatatuba,3510500,40,segunda-feira ,2021-02-01
Carapicuíba,3510609,39,segunda-feira ,2021-02-01
Votuporanga,3557105,39,segunda-feira ,2021-02-01
Cosmópolis,3512803,37,segunda-feira ,2021-02-01
Itapevi,3522505,38,segunda-feira ,2021-02-01
Jaú,3525300,40,segunda-feira ,2021-02-01
Itu,3523909,35,segunda-feira ,2021-02-01
Bauru,3506003,38,segunda-feira ,2021-02-01
São José Dos Campos,3549904,42,segunda-feira ,2021-02-01
Tupã,3555000,40,segunda-feira ,2021-02-01
Nova Odessa,3533403,38,terça-feira ,2021-02-02
Salto,3545209,37,terça-feira ,2021-02-02
Ibiúna,3519709,44,terça-feira ,2021-02-02
Cajamar,3509205,35,terça-feira ,2021-02-02
Campos Do Jordão,3509700,43,terça-feira ,2021-02-02
Bebedouro,3506102,48,terça-feira ,2021-02-02
Porto Ferreira,3540705,51,terça-feira ,2021-02-02
Fernandópolis,3515509,40,terça-feira ,2021-02-02
Franca,3516200,34,terça-feira ,2021-02-02
Itararé,3523206,50,terça-feira ,2021-02-02
Mirassol,3530300,40,terça-feira ,2021-02-02
Campinas,3509502,36,terça-feira ,2021-02-02
Piedade,3537800,46,terça-feira ,2021-02-02
Itapira,3522604,39,terça-feira ,2021-02-02
Leme,3526704,45,terça-feira ,2021-02-02
Ibitinga,3519600,48,terça-feira ,2021-02-02
Taubaté,3554102,39,terça-feira ,2021-02-02
Peruíbe,3537602,43,terça-feira ,2021-02-02
Mogi Das Cruzes,3530607,39,terça-feira ,2021-02-02
Ourinhos,3534708,40,terça-feira ,2021-02-02
Cruzeiro,3513405,44,terça-feira ,2021-02-02
Americana,3501608,36,terça-feira ,2021-02-02
Porto Feliz,3540606,42,terça-feira ,2021-02-02
Lençóis Paulista,3526803,39,terça-feira ,2021-02-02
Vargem Grande Paulista,3556453,44,terça-feira ,2021-02-02
Bragança Paulista,3507605,36,terça-feira ,2021-02-02
Taboão Da Serra,3552809,39,terça-feira ,2021-02-02
Caieiras,3509007,34,terça-feira ,2021-02-02
Sumaré,3552403,36,terça-feira ,2021-02-02
Mogi Mirim,3530805,44,terça-feira ,2021-02-02
Osasco,3534401,37,terça-feira ,2021-02-02
Várzea Paulista,3556503,38,terça-feira ,2021-02-02
Capivari,3510401,42,terça-feira ,2021-02-02
São José Dos Campos,3549904,42,terça-feira ,2021-02-02
Piracicaba,3538709,36,terça-feira ,2021-02-02
Registro,3542602,41,terça-feira ,2021-02-02
Santa Isabel,3546801,43,terça-feira ,2021-02-02
Caçapava,3508504,43,terça-feira ,2021-02-02
