Data,Departamento Regional de Saúde,mm7d da Ocupação dos leitos de UTI e Enfermaria (%),Nº de novas internações nos últimos 7 dias,Pacientes em tratamento na UTI,Total de leitos de UTI destinados à Covid,Ocupação dos leitos de UTI e Enfermaria (%),Novos casos de internações (UTI e Enfermaria),Pacientes em tratamento na Enfermaria,Total de leitos de Enfermaria destinados à Covid
2020-06-01,Grande SP Leste,76.3,643,281,387,72.6,97,546,906
2020-06-01,Município de São Paulo,78.7,5679,2650,3469,76.4,746,4410,6393
2020-06-01,DRS 06 Bauru,42.7,203,48,137,35.0,27,129,466
2020-06-02,DRS 09 Marília,20.9,102,23,104,22.1,12,62,353
2020-06-02,DRS 10 Piracicaba,51.8,146,79,136,58.1,19,76,274
2020-06-02,DRS 11 Presidente Prudente,52.6,45,25,45,55.6,8,35,154
2020-06-02,DRS 12 Registro,44.1,22,9,22,40.9,1,9,44
2020-06-02,DRS 08 Franca,53.1,41,16,31,51.6,5,29,88
2020-06-02,DRS 14 São João da Boa Vista,20.1,90,16,78,20.5,10,49,319
2020-06-02,DRS 15 São José do Rio Preto,29.7,249,65,192,33.8,39,91,387
2020-06-02,DRS 16 Sorocaba,62.7,262,97,165,58.8,22,151,502
2020-06-02,DRS 17 Taubaté,44.0,293,122,261,46.7,47,181,601
2020-06-02,DRS 13 Ribeirão Preto,45.0,241,72,151,47.7,41,94,328
2020-06-02,Estado de São Paulo,68.2,11953,5018,7240,69.3,1567,8291,15856
2020-06-02,DRS 07 Campinas,60.5,842,364,596,61.1,172,423,1033
2020-06-02,DRS 05 Barretos,11.7,45,7,56,12.5,4,17,131
2020-06-02,Município de São Paulo,78.7,5736,2676,3320,80.6,694,4316,6146
2020-06-02,Grande SP Leste,75.2,677,292,391,74.7,102,527,890
2020-06-02,Grande SP Norte,84.3,130,58,70,82.9,7,114,230
2020-06-02,Grande SP Oeste,86.8,550,190,224,84.8,69,406,638
2020-06-02,DRS 06 Bauru,42.4,199,48,116,41.4,26,164,501
2020-06-02,Grande SP Sudoeste,71.8,269,83,134,61.9,47,167,401
2020-06-02,DRS 02 Araçatuba,24.1,62,16,66,24.2,5,39,230
2020-06-02,DRS 03 Araraquara,29.4,126,21,63,33.3,17,44,330
2020-06-02,DRS 04 Baixada Santista,68.9,601,256,362,70.7,68,459,749
2020-06-02,Grande SP Sudeste,74.5,1225,483,657,73.5,152,838,1527
2020-06-03,DRS 08 Franca,54.4,42,17,31,54.8,7,13,86
2020-06-03,DRS 17 Taubaté,43.6,312,115,269,42.8,54,184,616
2020-06-03,DRS 16 Sorocaba,62.2,253,105,173,60.7,33,143,500
2020-06-03,DRS 15 São José do Rio Preto,30.4,273,73,251,29.1,53,99,564
2020-06-03,DRS 14 São João da Boa Vista,21.1,93,21,82,25.6,13,50,318
2020-06-03,DRS 13 Ribeirão Preto,45.7,266,76,151,50.3,59,119,328
2020-06-03,DRS 12 Registro,42.1,23,8,27,29.6,4,9,44
2020-06-03,DRS 11 Presidente Prudente,52.6,53,23,45,51.1,12,41,154
2020-06-03,DRS 10 Piracicaba,52.7,145,76,133,57.1,27,79,283
2020-06-03,DRS 09 Marília,21.4,114,23,95,24.2,22,74,348
2020-06-03,Estado de São Paulo,67.9,12129,5008,7477,67.0,1890,8359,16126
2020-06-03,DRS 07 Campinas,60.9,904,392,621,63.1,165,411,1016
2020-06-03,DRS 05 Barretos,11.8,48,10,55,18.2,11,15,131
2020-06-03,DRS 04 Baixada Santista,69.3,603,261,369,70.7,88,464,750
2020-06-03,DRS 03 Araraquara,30.8,136,25,73,34.2,30,51,324
2020-06-03,DRS 02 Araçatuba,24.7,71,17,65,26.2,17,42,230
2020-06-03,Grande SP Sudoeste,72.8,259,87,107,81.3,41,201,387
2020-06-03,Grande SP Sudeste,72.8,1242,483,706,68.4,190,899,1519
2020-06-03,Grande SP Oeste,86.5,540,191,223,85.6,77,396,652
2020-06-03,Grande SP Norte,82.4,115,53,71,74.6,16,123,209
2020-06-03,Grande SP Leste,74.3,671,290,407,71.2,111,535,890
2020-06-03,Município de São Paulo,78.2,5748,2608,3407,76.6,815,4264,6309
