Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Monte Mor,51352,34908,550,1841,86394
Monteiro Lobato,3664,2705,182,89,7544
Monções,1749,1457,163,50,3532
Morro Agudo,22627,17636,778,906,45657
Morungaba,11490,7877,235,353,20482
Motuca,3445,2788,98,123,7061
Murutinga Do Sul,3246,2696,208,91,6108
Nantes,2249,1779,92,59,4047
Narandiba,4175,3262,114,123,7155
Natividade Da Serra,5844,4053,161,148,11834
Nazaré Paulista,15129,11126,372,457,30098
Neves Paulista,7878,6485,649,228,14949
Nhandeara,8616,6812,273,240,18196
Nipoã,4007,2910,92,155,7144
Nova Aliança,5696,4508,361,165,11158
Nova Campina,7169,5797,139,226,13270
Nova Canaã Paulista,1704,1503,156,25,3296
Nova Castilho,941,797,68,20,1849
Nova Europa,7685,6100,226,299,15590
Nova Granada,16113,13049,500,557,33033
Nova Guataporanga,1885,1589,77,35,3644
Nova Independência,4489,2793,145,88,6879
Nova Luzitânia,2480,1785,112,126,5544
Nova Odessa,45960,32527,649,1776,87743
Novais,3604,2563,226,142,7320
Novo Horizonte,32215,26195,1304,1043,61632
Nuporanga,6099,4456,317,171,11994
Ocauçu,3539,3048,250,102,6025
Olímpia,45893,35382,1758,1383,83201
Onda Verde,3777,2891,95,103,6951
Oriente,4926,3875,152,167,9740
Orindiúva,4995,4064,219,195,9930
Orlândia,31532,24153,902,1137,68109
Osasco,592265,384402,9321,18645,1000134
Oscar Bressane,2142,1793,36,46,4086
Osvaldo Cruz,25939,21988,1321,721,52835
Ourinhos,86265,61771,2324,2116,149527
Ouro Verde,6189,4576,259,170,12394
Ouroeste,8521,6874,501,259,14952
Pacaembu,13612,7312,248,291,25756
Palestina,9242,7121,333,347,18943
Palmares Paulista,7541,5790,198,452,17539
Palmeira D'Oeste,7724,6579,651,193,14272
Palmital,17581,14180,1054,474,33337
Panorama,11504,8737,304,274,22629
Paraguaçu Paulista,34652,28170,1095,1047,67608
Paraibuna,14300,10936,323,421,26666
Paranapanema,15773,11986,350,520,27624
Paranapuã,3417,2868,195,91,6377
Parapuã,8582,6712,488,235,15493
Paraíso,4862,3902,252,164,9354
Pardinho,5612,3817,149,154,9634
Pariquera-Açu,15794,12286,818,379,29208
Parisi,2078,1769,210,45,3805
Patrocínio Paulista,11639,9036,388,326,22369
Paulicéia,5927,4432,126,205,10759
Paulistânia,1623,1335,112,38,2869
Paulo De Faria,7004,5336,429,185,14662
Paulínia,84623,62409,1638,2938,156294
Pederneiras,35935,25982,857,1202,69330
Pedra Bela,5379,4375,155,165,9610
Pedranópolis,2340,1873,195,56,4138
Pedregulho,13565,10084,617,384,24397
Pedreira,36800,27531,1144,1341,74205
Pedrinhas Paulista,2511,2192,169,55,4569
Pedro De Toledo,7913,5834,261,191,16932
Penápolis,50450,38806,1911,1322,94735
Pereira Barreto,20213,15939,701,576,35831
Pereiras,6502,4844,208,220,12311
Peruíbe,55748,40198,2074,1348,106054
Piacatu,4594,3761,222,132,9313
Piedade,43385,30292,616,1563,83513
Pilar Do Sul,23534,18565,410,681,42680
Pindamonhangaba,129650,95283,2864,4434,247165
Pindorama,12079,9808,587,426,24482
Pinhalzinho,12555,9975,279,401,23278
Piquerobi,2776,1890,215,54,5020
Piquete,10526,8254,290,335,20580
Piracaia,23324,17422,642,696,43177
Piracicaba,329160,256278,4530,10727,615007
Piraju,24931,18702,939,561,45070
Pirajuí,17676,10909,137,325,40834
Pirangi,8999,7337,593,269,17111
Pirapora Do Bom Jesus,15062,8608,331,444,26882
Pirapozinho,20166,15317,450,563,38410
Pirassununga,59850,45669,2391,1709,113223
Piratininga,11738,9246,448,340,20948
Pitangueiras,27196,19903,1399,1155,54297
Planalto,3706,2948,108,130,7023
Platina,2650,2192,115,77,5158
Poloni,4969,3971,282,152,8379
Pompéia,16783,11316,593,533,32057
Pongaí,2838,2354,166,81,5330
Pontal,31985,23350,692,1600,65675
Pontalinda,3308,2685,146,107,6609
Pontes Gestal,2082,1695,88,61,3962
Populina,3597,2928,283,84,6255
Porangaba,7938,5978,237,224,15531
Porto Feliz,43097,32098,774,1343,81218
Porto Ferreira,43756,32698,1131,1388,78333
Potim,18452,12712,390,513,35301
Potirendaba,14467,10997,665,480,26017
Poá,90082,62475,2569,2941,166700
Pracinha,2813,2586,89,10,5894
Pradópolis,14539,11344,278,682,29223
Praia Grande,268454,189755,6965,8147,488529
Pratânia,4206,2806,107,128,7827
Presidente Alves,3264,2721,101,102,6227
Presidente Bernardes,13355,9202,662,237,22551
Presidente Epitácio,31523,25532,938,916,61257
Presidente Prudente,189072,147229,6448,5199,356752
Presidente Venceslau,29443,23198,1374,947,54228
Promissão,28380,22143,914,1055,54820
Quadra,2978,2361,46,114,5451
Quatá,10656,8694,483,340,20213
Queiroz,2705,2152,88,85,5063
Queluz,8023,5530,187,294,16297
Quintana,5286,4296,240,149,10062
Rafard,7599,4895,219,246,14725
Rancharia,24079,19721,744,706,47068
Redenção Da Serra,3267,2562,89,86,6863
Regente Feijó,16110,12504,500,474,29411
Reginópolis,8174,6564,261,72,14829
Registro,47164,33860,1513,1078,89649
Restinga,5716,4135,158,168,10006
Ribeira,2796,2044,54,58,5250
Ribeirão Bonito,9414,7568,345,320,17935
Ribeirão Branco,14082,9375,192,376,24405
Ribeirão Corrente,3922,2993,94,132,6983
Ribeirão Do Sul,3801,3192,265,80,7147
Ribeirão Dos Índios,1827,1558,198,44,3441
Ribeirão Grande,6385,5030,116,171,11918
Ribeirão Pires,94247,72689,2855,3340,184478
Ribeirão Preto,540987,417847,10963,18992,1069985
Rifaina,3392,2525,96,89,6038
Rincão,7630,6359,288,291,16198
Rinópolis,7566,5394,292,263,15355
Rio Claro,164269,121423,6027,5018,288710
Rio Das Pedras,25416,18468,701,973,45845
Rio Grande Da Serra,29746,11506,204,1301,76507
Riolândia,9629,5352,80,263,19034
Riversul,4696,3896,179,115,8675
Rosana,13944,11060,535,372,26078
Roseira,8316,5863,217,328,16030
Rubinéia,2912,2359,110,60,5824
Rubiácea,2379,1729,123,49,4228
Sabino,4444,3225,120,129,8791
Sagres,1949,1442,49,44,3628
Sales,5217,4475,263,145,9371
Sales Oliveira,9277,7124,298,286,17979
Salesópolis,14160,10758,433,459,25578
Salmourão,3988,3093,209,131,7287
Saltinho,6946,5166,152,262,12773
Salto,98203,73132,2711,3112,175673
Salto De Pirapora,35114,26390,907,1116,66094
Salto Grande,7115,4868,219,214,13283
Sandovalina,3000,2348,95,79,5731
Santa Adélia,11681,9009,505,423,21919
Santa Albertina,5128,4195,204,125,9829
Santa Branca,11167,8781,271,349,22819
Santa Bárbara D'Oeste,146696,110689,2995,5364,281109
Santa Clara D'Oeste,1966,1704,100,32,3547
Santa Cruz Da Conceição,3654,2981,446,111,6953
Santa Cruz Da Esperança,1731,1405,96,40,3383
Santa Cruz Das Palmeiras,23793,17173,508,984,46428
Santa Cruz Do Rio Pardo,39075,29730,1885,978,69161
Santa Ernestina,4668,3692,124,164,8246
