Data de Registro,1ª Dose,2ª Dose,3ª Dose,Dose Única
18 de junho de 2021,434276,10650,0,0
18 de maio de 2021,212179,65192,0,0
18 de março de 2021,78770,25753,0,0
18 de setembro de 2021,56270,200326,6516,247
19 de abril de 2021,70556,138409,0,0
19 de agosto de 2021,174977,380936,0,2425
19 de fevereiro de 2021,43116,41026,0,0
19 de janeiro de 2021,7452,0,0,0
19 de julho de 2021,383090,125473,0,12231
19 de junho de 2021,405953,7002,0,0
19 de maio de 2021,147201,42007,0,0
19 de março de 2021,193244,18553,0,0
19 de setembro de 2021,13508,29125,1121,20
2 de abril de 2021,49347,7381,0,0
2 de agosto de 2021,272086,140220,0,3269
2 de fevereiro de 2021,58721,7,0,0
2 de julho de 2021,311730,18607,0,20395
2 de junho de 2021,214461,39969,0,1
2 de maio de 2021,8436,3736,0,0
2 de março de 2021,98989,59468,0,0
2 de outubro de 2021,51242,257055,41584,204
2 de setembro de 2021,213878,389911,0,570
20 de abril de 2021,120068,148347,0,0
20 de agosto de 2021,172893,384483,0,1505
20 de fevereiro de 2021,16295,7476,0,0
20 de janeiro de 2021,14214,1,0,0
20 de julho de 2021,380233,123080,0,11654
20 de junho de 2021,42860,859,0,0
20 de maio de 2021,137112,33822,0,0
20 de março de 2021,91239,6552,0,0
20 de setembro de 2021,74200,348714,20509,249
21 de abril de 2021,208959,56129,0,0
21 de agosto de 2021,110748,145264,0,1150
21 de fevereiro de 2021,5982,2163,0,0
21 de janeiro de 2021,32080,2,0,0
21 de julho de 2021,380002,230576,0,8027
21 de junho de 2021,337695,8831,0,1
21 de maio de 2021,196215,52010,0,0
21 de março de 2021,14042,2578,0,0
21 de setembro de 2021,68117,375666,25433,455
22 de abril de 2021,140500,132882,0,0
22 de agosto de 2021,20410,22408,0,253
22 de fevereiro de 2021,37648,28863,0,0
22 de janeiro de 2021,51620,10,0,0
22 de julho de 2021,357899,244802,0,8094
22 de junho de 2021,331124,9611,0,0
22 de maio de 2021,91793,38902,0,1
22 de março de 2021,139332,19102,0,0
22 de setembro de 2021,64141,364036,20787,291
23 de abril de 2021,185319,149484,0,0
23 de agosto de 2021,147071,310288,0,1082
23 de fevereiro de 2021,33926,26243,0,0
23 de janeiro de 2021,16867,6,0,0
23 de julho de 2021,375980,186800,0,7670
23 de junho de 2021,422798,11983,0,0
23 de maio de 2021,17642,6250,0,0
