codigo_ibge,municipio,latitude,longitude,mesorregiao,microrregiao
3545209,Salto,-23.1996,-47.2931,Macro Metropolitana Paulista,Sorocaba
3545308,Salto de Pirapora,-23.6474,-47.5743,Macro Metropolitana Paulista,Sorocaba
3545407,Salto Grande,-22.8894,-49.9831,Assis,Ourinhos
3545506,Sandovalina,-22.4551,-51.7648,Presidente Prudente,Presidente Prudente
3545605,Santa Adélia,-21.2427,-48.8063,São José do Rio Preto,Catanduva
3545704,Santa Albertina,-20.0311,-50.7297,São José do Rio Preto,Jales
3545803,Santa Bárbara d'Oeste,-22.7553,-47.4143,Campinas,Campinas
3546009,Santa Branca,-23.3933,-45.8875,Vale do Paraíba Paulista,São José dos Campos
3546108,Santa Clara d'Oeste,-20.09,-50.9491,São José do Rio Preto,Jales
3546207,Santa Cruz da Conceição,-22.1405,-47.4512,Piracicaba,Limeira
3546256,Santa Cruz da Esperança,-21.2951,-47.4304,Ribeirão Preto,Batatais
3546306,Santa Cruz das Palmeiras,-21.8235,-47.248,Campinas,Pirassununga
3546405,Santa Cruz do Rio Pardo,-22.8988,-49.6354,Assis,Ourinhos
3546504,Santa Ernestina,-21.4618,-48.3953,Ribeirão Preto,Jaboticabal 
3546603,Santa Fé do Sul,-20.2083,-50.932,São José do Rio Preto,Jales
3546702,Santa Gertrudes,-22.4572,-47.5272,Piracicaba,Limeira
3546801,Santa Isabel,-23.3172,-46.2237,Metropolitana de São Paulo,Guarulhos
3546900,Santa Lúcia,-21.685,-48.0885,Araraquara ,Araraquara
3547007,Santa Maria da Serra,-22.5661,-48.1593,Piracicaba,Piracicaba
3547106,Santa Mercedes,-21.3495,-51.7564,Presidente Prudente,Dracena
3547403,Santa Rita d'Oeste,-20.1414,-50.8358,São José do Rio Preto,Jales
3547502,Santa Rita do Passa Quatro,-21.7083,-47.478,Ribeirão Preto,Ribeirão Preto
3547601,Santa Rosa de Viterbo,-21.4776,-47.3622,Ribeirão Preto,Ribeirão Preto
3547650,Santa Salete,-20.2429,-50.6887,São José do Rio Preto,Jales
3547205,Santana da Ponte Pensa,-20.2523,-50.8014,São José do Rio Preto,Jales
3547304,Santana de Parnaíba,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
3547700,Santo Anastácio,-21.9747,-51.6527,Presidente Prudente,Presidente Prudente
3547809,Santo André,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
3547908,Santo Antônio da Alegria,-21.0864,-47.1464,Ribeirão Preto,Batatais
3548005,Santo Antônio de Posse,-22.6029,-46.9192,Campinas,Mogi Mirim
3548054,Santo Antônio do Aracanguá,-20.9331,-50.498,Araçatuba,Araçatuba
3548104,Santo Antônio do Jardim,-22.1121,-46.6845,Campinas,São João da Boa Vista
3548203,Santo Antônio do Pinhal,-22.827,-45.663,Vale do Paraíba Paulista,Campos do Jordão
3548302,Santo Expedito,-21.8467,-51.3929,Presidente Prudente,Presidente Prudente
3548401,Santópolis do Aguapeí,-21.6376,-50.5044,Araçatuba,Birigui
3548500,Santos,-23.9535,-46.335,Metropolitana de São Paulo,Santos
3548609,São Bento do Sapucaí,-22.6837,-45.7287,Vale do Paraíba Paulista,Campos do Jordão
3548708,São Bernardo do Campo,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
3548807,São Caetano do Sul,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
3548906,São Carlos,-22.0174,-47.886,Araraquara ,São Carlos
3549003,São Francisco,-20.3623,-50.6952,São José do Rio Preto,Jales
3549102,São João da Boa Vista,-21.9707,-46.7944,Campinas,São João da Boa Vista
3549201,São João das Duas Pontes,-20.3879,-50.3792,São José do Rio Preto,Fernandópolis
3549250,São João de Iracema,-20.5111,-50.3561,São José do Rio Preto,Auriflama
