Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
12/ago/2021;4147665;9244;294;;;;;
13/ago/2021;4156563;8898;241;;;;;
14/ago/2021;4164587;8024;329;;;;;
15/ago/2021;4168493;3906;60;;;;;
16/ago/2021;4170541;2048;21;;;;;
17/ago/2021;4179148;8607;526;;;;;
18/ago/2021;4187465;8317;336;;;;;
19/ago/2021;4195466;8001;281;;;;;
20/ago/2021;4202577;7111;261;;;;;
21/ago/2021;4209421;6844;172;;;;;
22/ago/2021;4212611;3190;31;;;;;
23/ago/2021;4214553;1942;27;;;;;
24/ago/2021;4222902;8349;267;;;;;
25/ago/2021;4229600;6698;257;;;;;
26/ago/2021;4236436;6836;245;;;;;
27/ago/2021;4244071;7635;304;;;;;
28/ago/2021;4250474;6403;183;;;;;
29/ago/2021;4253516;3042;23;;;;;
30/ago/2021;4255324;1808;36;;;;;
31/ago/2021;4262684;7360;278;;;;;
01/set/2021;4269138;6454;179;;;;;
02/set/2021;4275258;6120;164;;;;;
03/set/2021;4281972;6714;169;;;;;
04/set/2021;4288443;6471;178;;;;;
05/set/2021;4290459;2016;23;;;;;
06/set/2021;4291993;1534;18;;;;;
07/set/2021;4295149;3156;28;;;;;
08/set/2021;4297229;2080;15;;;;;
09/set/2021;4298180;951;218;;;;;
10/set/2021;4298851;671;192;;;;;
11/set/2021;4299629;778;178;;;;;
12/set/2021;4300307;678;38;;;;;
13/set/2021;4300644;337;22;;;;;
14/set/2021;4301525;881;186;;;;;
15/set/2021;4302511;986;197;;;;;
16/set/2021;4325189;22678;170;;;;;
17/set/2021;4348775;23586;133;;;;;
18/set/2021;4350223;1448;135;;;;;
