Dia de Data Registro Vacina;Dose;Contagem de Dose
21 de agosto de 2021;1° DOSE;110748
20 de agosto de 2021;1° DOSE;172893
19 de agosto de 2021;1° DOSE;174977
18 de agosto de 2021;1° DOSE;235456
17 de agosto de 2021;1° DOSE;283665
16 de agosto de 2021;1° DOSE;314188
15 de agosto de 2021;1° DOSE;241618
14 de agosto de 2021;1° DOSE;430016
13 de agosto de 2021;1° DOSE;451705
12 de agosto de 2021;1° DOSE;448986
11 de agosto de 2021;1° DOSE;414956
10 de agosto de 2021;1° DOSE;419709
9 de agosto de 2021;1° DOSE;263724
8 de agosto de 2021;1° DOSE;20014
7 de agosto de 2021;1° DOSE;163005
6 de agosto de 2021;1° DOSE;347394
5 de agosto de 2021;1° DOSE;361206
4 de agosto de 2021;1° DOSE;351266
3 de agosto de 2021;1° DOSE;311841
2 de agosto de 2021;1° DOSE;272086
1 de agosto de 2021;1° DOSE;16646
31 de julho de 2021;1° DOSE;170421
30 de julho de 2021;1° DOSE;307129
29 de julho de 2021;1° DOSE;222723
28 de julho de 2021;1° DOSE;210516
27 de julho de 2021;1° DOSE;312794
26 de julho de 2021;1° DOSE;282449
25 de julho de 2021;1° DOSE;24572
24 de julho de 2021;1° DOSE;195625
23 de julho de 2021;1° DOSE;375979
22 de julho de 2021;1° DOSE;357898
21 de julho de 2021;1° DOSE;380000
20 de julho de 2021;1° DOSE;380232
19 de julho de 2021;1° DOSE;383090
18 de julho de 2021;1° DOSE;42202
17 de julho de 2021;1° DOSE;312830
16 de julho de 2021;1° DOSE;338583
15 de julho de 2021;1° DOSE;312679
14 de julho de 2021;1° DOSE;196722
13 de julho de 2021;1° DOSE;210680
12 de julho de 2021;1° DOSE;274212
11 de julho de 2021;1° DOSE;13313
10 de julho de 2021;1° DOSE;74514
9 de julho de 2021;1° DOSE;245748
8 de julho de 2021;1° DOSE;301002
7 de julho de 2021;1° DOSE;264375
6 de julho de 2021;1° DOSE;267218
5 de julho de 2021;1° DOSE;323286
4 de julho de 2021;1° DOSE;17886
3 de julho de 2021;1° DOSE;155724
2 de julho de 2021;1° DOSE;311728
1 de julho de 2021;1° DOSE;332177
30 de junho de 2021;1° DOSE;390694
29 de junho de 2021;1° DOSE;382298
28 de junho de 2021;1° DOSE;287739
27 de junho de 2021;1° DOSE;35083
26 de junho de 2021;1° DOSE;300986
25 de junho de 2021;1° DOSE;408129
24 de junho de 2021;1° DOSE;409987
23 de junho de 2021;1° DOSE;422799
22 de junho de 2021;1° DOSE;331124
21 de junho de 2021;1° DOSE;337695
20 de junho de 2021;1° DOSE;42860
19 de junho de 2021;1° DOSE;405952
18 de junho de 2021;1° DOSE;434276
17 de junho de 2021;1° DOSE;468640
16 de junho de 2021;1° DOSE;403958
15 de junho de 2021;1° DOSE;283483
14 de junho de 2021;1° DOSE;252242
13 de junho de 2021;1° DOSE;16790
12 de junho de 2021;1° DOSE;154560
11 de junho de 2021;1° DOSE;247297
10 de junho de 2021;1° DOSE;190351
9 de junho de 2021;1° DOSE;177093
8 de junho de 2021;1° DOSE;168004
7 de junho de 2021;1° DOSE;169464
6 de junho de 2021;1° DOSE;10544
5 de junho de 2021;1° DOSE;91440
4 de junho de 2021;1° DOSE;131888
3 de junho de 2021;1° DOSE;113335
2 de junho de 2021;1° DOSE;214461
1 de junho de 2021;1° DOSE;150175
31 de maio de 2021;1° DOSE;151859
30 de maio de 2021;1° DOSE;14364
29 de maio de 2021;1° DOSE;113514
28 de maio de 2021;1° DOSE;199155
27 de maio de 2021;1° DOSE;134145
26 de maio de 2021;1° DOSE;137092
25 de maio de 2021;1° DOSE;147397
24 de maio de 2021;1° DOSE;146568
23 de maio de 2021;1° DOSE;17642
22 de maio de 2021;1° DOSE;91793
21 de maio de 2021;1° DOSE;196215
20 de maio de 2021;1° DOSE;137112
19 de maio de 2021;1° DOSE;147201
18 de maio de 2021;1° DOSE;212179
17 de maio de 2021;1° DOSE;74380
16 de maio de 2021;1° DOSE;81969
15 de maio de 2021;1° DOSE;121692
14 de maio de 2021;1° DOSE;201065
13 de maio de 2021;1° DOSE;151794
12 de maio de 2021;1° DOSE;182419
11 de maio de 2021;1° DOSE;117144
10 de maio de 2021;1° DOSE;107361
9 de maio de 2021;1° DOSE;11472
8 de maio de 2021;1° DOSE;127785
7 de maio de 2021;1° DOSE;252258
6 de maio de 2021;1° DOSE;260893
5 de maio de 2021;1° DOSE;156282
4 de maio de 2021;1° DOSE;126798
3 de maio de 2021;1° DOSE;80915
2 de maio de 2021;1° DOSE;8436
1 de maio de 2021;1° DOSE;28473
30 de abril de 2021;1° DOSE;108769
29 de abril de 2021;1° DOSE;154933
28 de abril de 2021;1° DOSE;104247
27 de abril de 2021;1° DOSE;95319
26 de abril de 2021;1° DOSE;114489
25 de abril de 2021;1° DOSE;12182
24 de abril de 2021;1° DOSE;64582
23 de abril de 2021;1° DOSE;185319
22 de abril de 2021;1° DOSE;140500
21 de abril de 2021;1° DOSE;208959
20 de abril de 2021;1° DOSE;120068
19 de abril de 2021;1° DOSE;70556
18 de abril de 2021;1° DOSE;14500
17 de abril de 2021;1° DOSE;35628
16 de abril de 2021;1° DOSE;65782
15 de abril de 2021;1° DOSE;89094
14 de abril de 2021;1° DOSE;122240
13 de abril de 2021;1° DOSE;134310
12 de abril de 2021;1° DOSE;145688
11 de abril de 2021;1° DOSE;11888
10 de abril de 2021;1° DOSE;67680
9 de abril de 2021;1° DOSE;43083
8 de abril de 2021;1° DOSE;58218
7 de abril de 2021;1° DOSE;94509
6 de abril de 2021;1° DOSE;124179
5 de abril de 2021;1° DOSE;116501
4 de abril de 2021;1° DOSE;5691
3 de abril de 2021;1° DOSE;42087
2 de abril de 2021;1° DOSE;49347
1 de abril de 2021;1° DOSE;91072
31 de março de 2021;1° DOSE;84174
30 de março de 2021;1° DOSE;112975
29 de março de 2021;1° DOSE;159856
28 de março de 2021;1° DOSE;16984
27 de março de 2021;1° DOSE;103090
26 de março de 2021;1° DOSE;211672
25 de março de 2021;1° DOSE;125265
24 de março de 2021;1° DOSE;90170
23 de março de 2021;1° DOSE;104667
22 de março de 2021;1° DOSE;139332
21 de março de 2021;1° DOSE;14042
20 de março de 2021;1° DOSE;91239
19 de março de 2021;1° DOSE;193244
18 de março de 2021;1° DOSE;78770
17 de março de 2021;1° DOSE;79720
16 de março de 2021;1° DOSE;82617
15 de março de 2021;1° DOSE;131386
14 de março de 2021;1° DOSE;9397
13 de março de 2021;1° DOSE;29725
12 de março de 2021;1° DOSE;55647
11 de março de 2021;1° DOSE;56554
10 de março de 2021;1° DOSE;59896
9 de março de 2021;1° DOSE;69340
8 de março de 2021;1° DOSE;73847
